Cover_Type,Cover_Long,Max_Coverage_pct,Temp_Celsius,Wind_Speed,Wind_Direction,Visibility,Date
OVC,Overcast,1.00,-6.7,6,130,0.5,2022-12-31
OVC,Overcast,1.00,-6.7,6,120,0.5,2022-12-31
OVC,Overcast,1.00,-6.1,6,120,0.25,2022-12-31
OVC,Overcast,1.00,-5.6,8,110,1,2022-12-31
OVC,Overcast,1.00,-5.6,9,120,2.5,2022-12-31
OVC,Overcast,1.00,-5,9,130,2,2022-12-31
OVC,Overcast,1.00,-4.4,9,120,2,2022-12-31
OVC,Overcast,1.00,-5,11,120,2.5,2022-12-31
OVC,Overcast,1.00,-4.4,9,130,4,2022-12-31
OVC,Overcast,1.00,-3.9,9,130,7,2022-12-31
BKN,Broken,0.88,-2.2,10,140,10,2022-12-31
BKN,Broken,0.88,-2.2,11,150,10,2022-12-31
OVC,Overcast,1.00,-1.1,9,140,10,2022-12-31
OVC,Overcast,1.00,0.6,10,150,9,2022-12-31
BKN,Broken,0.88,1.7,9,160,10,2022-12-31
BKN,Broken,0.88,2.2,10,160,10,2022-12-31
BKN,Broken,0.88,1.7,9,170,10,2022-12-31
OVC,Overcast,1.00,1.7,10,170,10,2022-12-31
OVC,Overcast,1.00,1.7,8,170,10,2022-12-31
OVC,Overcast,1.00,2.2,8,160,10,2023-01-01
OVC,Overcast,1.00,1.7,7,180,10,2023-01-01
OVC,Overcast,1.00,1.7,7,180,10,2023-01-01
OVC,Overcast,1.00,1.7,4,190,9,2023-01-01
OVC,Overcast,1.00,1.7,4,0,8,2023-01-01
OVC,Overcast,1.00,1.7,6,240,10,2023-01-01
BKN,Broken,0.88,0.6,8,240,9,2023-01-01
BKN,Broken,0.88,-0.6,8,260,8,2023-01-01
OVC,Overcast,1.00,-2.2,7,260,5,2023-01-01
OVC,Overcast,1.00,-1.7,6,260,7,2023-01-01
OVC,Overcast,1.00,-1.7,6,270,8,2023-01-01
OVC,Overcast,1.00,-1.7,6,270,9,2023-01-01
OVC,Overcast,1.00,-2.2,7,240,9,2023-01-01
OVC,Overcast,1.00,-2.8,6,280,4,2023-01-01
OVC,Overcast,1.00,-2.8,5,250,1.5,2023-01-01
OVC,Overcast,1.00,-2.8,4,290,2,2023-01-01
OVC,Overcast,1.00,-2.8,6,260,5,2023-01-01
OVC,Overcast,1.00,-2.8,6,240,7,2023-01-01
BKN,Broken,0.88,-1.7,4,200,8,2023-01-01
SCT,Scattered,0.50,-1.1,5,220,10,2023-01-01
FEW,Few Clouds,0.25,0,4,250,10,2023-01-01
FEW,Few Clouds,0.25,-0.6,6,240,10,2023-01-01
CLR,Clear,0,-1.7,5,240,10,2023-01-01
CLR,Clear,0,-3.3,4,260,10,2023-01-01
SCT,Scattered,0.50,-3.3,5,250,10,2023-01-02
SCT,Scattered,0.50,-3.9,6,260,10,2023-01-02
BKN,Broken,0.88,-5.6,10,340,8,2023-01-02
OVC,Overcast,1.00,-5.6,5,320,6,2023-01-02
OVC,Overcast,1.00,-5,4,330,7,2023-01-02
OVC,Overcast,1.00,-5,6,310,7,2023-01-02
OVC,Overcast,1.00,-5,5,300,4,2023-01-02
OVC,Overcast,1.00,-5,4,300,5,2023-01-02
OVC,Overcast,1.00,-5,5,310,5,2023-01-02
OVC,Overcast,1.00,-5,3,290,5,2023-01-02
OVC,Overcast,1.00,-5,3,20,2,2023-01-02
OVC,Overcast,1.00,-5,0,0,2,2023-01-02
OVC,Overcast,1.00,-5.6,5,230,1.5,2023-01-02
OVC,Overcast,1.00,-5.6,4,230,1.5,2023-01-02
OVC,Overcast,1.00,-5.6,6,310,1.5,2023-01-02
OVC,Overcast,1.00,-5.6,0,0,1.5,2023-01-02
OVC,Overcast,1.00,-5,0,0,1.5,2023-01-02
OVC,Overcast,1.00,-4.4,3,350,2.5,2023-01-02
OVC,Overcast,1.00,-3.9,3,330,5,2023-01-02
OVC,Overcast,1.00,-4,6,190,1,2023-01-02
OVC,Overcast,1.00,-4,3,330,2,2023-01-02
OVC,Overcast,1.00,-3.3,0,0,5,2023-01-02
OVC,Overcast,1.00,-3.3,4,330,5,2023-01-02
BKN,Broken,0.88,-3.3,0,0,5,2023-01-03
OVC,Overcast,1.00,-3.3,4,30,5,2023-01-03
OVC,Overcast,1.00,-3.3,0,0,6,2023-01-03
OVC,Overcast,1.00,-3.3,5,40,5,2023-01-03
OVC,Overcast,1.00,-3.3,6,30,4,2023-01-03
OVC,Overcast,1.00,-3.3,4,60,3,2023-01-03
OVC,Overcast,1.00,-3.3,5,0,3,2023-01-03
OVC,Overcast,1.00,-3.9,7,30,4,2023-01-03
OVC,Overcast,1.00,-4,9,40,5,2023-01-03
BKN,Broken,0.88,-4.4,7,40,5,2023-01-03
BKN,Broken,0.88,-4.4,10,30,6,2023-01-03
BKN,Broken,0.88,-4.4,12,20,6,2023-01-03
OVC,Overcast,1.00,-4.4,12,20,6,2023-01-03
OVC,Overcast,1.00,-4.4,11,30,7,2023-01-03
OVC,Overcast,1.00,-3.9,14,50,7,2023-01-03
OVC,Overcast,1.00,-4,13,30,1.25,2023-01-03
OVC,Overcast,1.00,-3.9,9,40,1.5,2023-01-03
OVC,Overcast,1.00,-3.3,12,30,9,2023-01-03
OVC,Overcast,1.00,-2.2,11,40,6,2023-01-03
OVC,Overcast,1.00,-2.2,12,40,3,2023-01-03
OVC,Overcast,1.00,-2.2,11,30,4,2023-01-03
OVC,Overcast,1.00,-1.1,11,40,3,2023-01-04
OVC,Overcast,1.00,-1.1,13,30,3,2023-01-04
OVC,Overcast,1.00,-0.6,11,40,3,2023-01-04
OVC,Overcast,1.00,-0.6,11,50,2.5,2023-01-04
OVC,Overcast,1.00,-0.6,9,40,2.5,2023-01-04
OVC,Overcast,1.00,-0.6,9,30,2.5,2023-01-04
OVC,Overcast,1.00,-1,10,30,2,2023-01-04
OVC,Overcast,1.00,-0.6,9,30,3,2023-01-04
OVC,Overcast,1.00,-0.6,9,20,1.25,2023-01-04
OVC,Overcast,1.00,-0.6,11,20,1,2023-01-04
OVC,Overcast,1.00,0,10,30,2.5,2023-01-04
OVC,Overcast,1.00,0,11,30,1.5,2023-01-04
