Type,Station,Observed_Date,Temp_Celsius,DewPoint_Celsius,Wind_Speed,Wind_Direction,Cover,Visibility,Observation,Logged_Date
"METAR","KMSP","2022-12-28T00:53:00Z",-5.6,-10,10,160,"BKN",10,"KMSP 280053Z 16010KT 10SM SCT130 BKN250 M06/M10 A2959 RMK AO2 SLP035 T10561100 $",2022.12.27-19.55.01
"METAR","KMSP","2022-12-28T01:53:00Z",-6.1,-10,10,150,"SCT",10,"KMSP 280153Z 15010KT 10SM FEW130 SCT250 M06/M10 A2955 RMK AO2 SLP023 T10611100 $",2022.12.27-20.55.01
"METAR","KMSP","2022-12-28T02:53:00Z",-6.1,-10,9,160,"SCT",10,"KMSP 280253Z 16009KT 10SM FEW150 SCT250 M06/M10 A2956 RMK AO2 SLP023 T10611100 55016 $",2022.12.27-21.55.01
"METAR","KMSP","2022-12-28T03:53:00Z",-5.6,-9.4,9,150,"SCT",10,"KMSP 280353Z 15009KT 10SM FEW150 SCT250 M06/M09 A2953 RMK AO2 SLP013 T10561094 $",2022.12.27-22.55.01
"METAR","KMSP","2022-12-28T04:53:00Z",-4.4,-8.3,8,160,"SCT",10,"KMSP 280453Z 16008KT 10SM SCT160 SCT250 M04/M08 A2952 RMK AO2 SLP009 T10441083 $",2022.12.27-23.55.01
"METAR","KMSP","2022-12-28T05:53:00Z",-3.3,-7.2,10,160,"BKN",10,"KMSP 280553Z 16010KT 10SM BKN170 M03/M07 A2949 RMK AO2 SLP998 4/009 T10331072 11033 21067 410331167 58022 $",2022.12.28-00.55.01
"METAR","KMSP","2022-12-28T06:53:00Z",-3.3,-6.7,9,150,"BKN",10,"KMSP 280653Z 15009KT 10SM BKN170 M03/M07 A2947 RMK AO2 SLP991 T10331067 $",2022.12.28-01.55.01
"METAR","KMSP","2022-12-28T07:53:00Z",-2.8,-6.1,11,150,"BKN",10,"KMSP 280753Z 15011KT 10SM BKN170 M03/M06 A2943 RMK AO2 PRESFR SLP976 T10281061 $",2022.12.28-02.55.01
"METAR","KMSP","2022-12-28T08:53:00Z",-2.2,-6.1,8,150,"BKN",10,"KMSP 280853Z 15008KT 10SM BKN170 M02/M06 A2944 RMK AO2 SLP981 T10221061 55016 $",2022.12.28-03.55.01
"METAR","KMSP","2022-12-28T09:53:00Z",-2.8,-6.1,8,130,"BKN",10,"KMSP 280953Z 13008KT 10SM BKN180 M03/M06 A2942 RMK AO2 SLP973 T10281061 $",2022.12.28-04.55.01
"METAR","KMSP","2022-12-28T10:53:00Z",-2.8,-6.1,10,140,"BKN",10,"KMSP 281053Z 14010KT 10SM BKN180 M03/M06 A2941 RMK AO2 SLP971 T10281061 $",2022.12.28-05.55.01
"METAR","KMSP","2022-12-28T11:53:00Z",-2.2,-5.6,8,140,"OVC",10,"KMSP 281153Z 14008KT 10SM BKN200 OVC250 M02/M06 A2942 RMK AO2 SLP975 4/009 T10221056 11022 21033 55006 $",2022.12.28-06.55.01
"METAR","KMSP","2022-12-28T12:53:00Z",-1.7,-5.6,8,140,"BKN",10,"KMSP 281253Z 14008KT 10SM BKN200 BKN250 M02/M06 A2943 RMK AO2 SLP975 T10171056 $",2022.12.28-07.55.01
